,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[14864],0.025,0.043,-0.059,0.104,0.0,0.001,21058.0,5350.0,1.0
mu[14865],-0.048,0.043,-0.127,0.035,0.0,0.001,20482.0,5644.0,1.0
mu[14866],-0.093,0.044,-0.173,-0.009,0.0,0.001,19767.0,6253.0,1.0
mu[14867],-0.036,0.044,-0.118,0.046,0.0,0.001,18128.0,5559.0,1.0
mu[14868],-0.068,0.046,-0.155,0.019,0.0,0.001,17348.0,5102.0,1.0
mu[14869],0.021,0.044,-0.06,0.104,0.0,0.001,21258.0,5774.0,1.0
mu[14870],-0.095,0.044,-0.175,-0.014,0.0,0.001,20380.0,6063.0,1.0
mu[14871],0.055,0.066,-0.07,0.179,0.001,0.001,14322.0,7251.0,1.0
mu[14872],0.037,0.044,-0.045,0.117,0.0,0.001,20983.0,5951.0,1.0
mu[14873],-0.066,0.043,-0.149,0.012,0.0,0.001,18701.0,5822.0,1.0
mu[14874],0.142,0.043,0.062,0.223,0.0,0.001,20462.0,5476.0,1.0
mu[14875],-0.047,0.043,-0.131,0.03,0.0,0.001,19219.0,5838.0,1.0
mu[14876],-0.11,0.045,-0.192,-0.024,0.0,0.001,20373.0,5403.0,1.0
mu[14877],-0.031,0.046,-0.119,0.052,0.0,0.001,18662.0,5705.0,1.0
mu[14878],-0.022,0.045,-0.105,0.062,0.0,0.001,18001.0,5993.0,1.0
mu[14879],-0.03,0.043,-0.113,0.05,0.0,0.001,19280.0,5400.0,1.0
