,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[1069],-0.027,0.055,-0.13,0.077,0.0,0.001,19920.0,5148.0,1.0
mu[1070],-0.029,0.055,-0.131,0.077,0.0,0.001,19938.0,5197.0,1.0
mu[1071],0.1,0.078,-0.044,0.248,0.001,0.001,13569.0,6969.0,1.0
mu[1072],0.035,0.062,-0.084,0.147,0.0,0.001,16481.0,5796.0,1.0
mu[1073],-0.087,0.061,-0.203,0.026,0.0,0.001,17467.0,5928.0,1.0
mu[1074],0.025,0.06,-0.083,0.143,0.0,0.001,17068.0,5689.0,1.0
mu[1075],0.048,0.064,-0.078,0.162,0.001,0.001,15679.0,5885.0,1.0
mu[1076],-0.101,0.063,-0.218,0.019,0.0,0.001,16616.0,6202.0,1.0
mu[1077],-0.004,0.056,-0.11,0.101,0.0,0.001,18967.0,5392.0,1.0
mu[1078],-0.12,0.068,-0.252,0.003,0.001,0.001,15530.0,6516.0,1.0
mu[1079],0.107,0.081,-0.038,0.261,0.001,0.001,13374.0,7068.0,1.0
mu[1080],-0.16,0.079,-0.311,-0.011,0.001,0.001,13638.0,6703.0,1.0
mu[1081],-0.068,0.058,-0.176,0.042,0.0,0.001,18593.0,5657.0,1.0
mu[1082],-0.073,0.058,-0.184,0.035,0.0,0.001,18304.0,5665.0,1.0
mu[1083],-0.006,0.056,-0.111,0.099,0.0,0.001,19105.0,5430.0,1.0
mu[1084],-0.095,0.062,-0.213,0.02,0.0,0.001,16922.0,6019.0,1.0
mu[1085],-0.006,0.056,-0.111,0.099,0.0,0.001,19105.0,5430.0,1.0
mu[1086],-0.073,0.058,-0.184,0.035,0.0,0.001,18304.0,5665.0,1.0
mu[1087],-0.162,0.08,-0.31,-0.009,0.001,0.001,13585.0,6762.0,1.0
mu[1088],0.06,0.067,-0.068,0.183,0.001,0.001,15088.0,6147.0,1.0
mu[1089],0.06,0.067,-0.068,0.183,0.001,0.001,15088.0,6147.0,1.0
mu[1090],-0.029,0.055,-0.131,0.077,0.0,0.001,19939.0,5148.0,1.0
